Name,Alternative names,Purpose in food preparation
Apple corer,,To remove the core and pips from apples and similar fruits
Apple cutter,,To cut apple and similar fruits easily while simultaneously removing the core and pips.
Baster,,Used during cooking to cover meat in its own juices or with a sauce.
Biscuit cutter,"Biscuit mould, Cookie cutter, Cookie mould",Shaping biscuit dough
Biscuit press,Cookie press,A device for making pressed cookies such as spritzgebäck.
Blow torch,"Blowtorch, blowlamp",Commonly used to create a hard layer of caramelized sugar in a crème brûlée.
Boil over preventer,"Milk watcher, Milk guard, Pot minder",Preventing liquids from boiling over outside of the pot
Bottle opener,,Twists the metal cap off of a bottle
Bowl,,"To hold food, including food that is ready to be served"
Bread knife,,To cut soft bread
Browning tray,"Browning plate, Browning bowl",Used in a microwave oven to help turn food brown
Butter curler,,Used to produce decorative butter shapes.
Cake and pie server,"Cake shovel, pie cutter","To cut slices in pies or cakes, and then transfer to a plate or container"
Cheese knife,,Used to cut cheese.
Cheesecloth,,To assist in the formation of cheese
Chef's knife,,"Originally used to slice large cuts of beef, it is now the general utility knife for most Western cooks."
Cherry pitter,Olive stoner,Used for the removal of pits (stones) from cherries or olives.
Chinoise,Chinois,"Straining substances such as custards, soups and sauces, or to dust food with powder"
Colander,,Used for draining substances cooked in water
Corkscrew,,Pierces and removes a cork from a bottle.
Crab cracker,Lobster cracker,Used to crack the shell of a crab or lobster
Cutting board,Cutting board,A portable board on which food can be cut.
Dough scraper,"Bench scraper, Scraper","To shape or cut dough, and remove dough from a worksurface"
Egg piercer,,"Pierces the air pocket of an eggshell with a small needle to keep the shell from cracking during hard-boiling. If both ends of the shell are pierced, the egg can be blown out while preserving the shell (for crafts)."
Egg poacher,,"Holds a raw egg, and is placed inside a pot of boiling water to poach an egg."
Egg separator,,A slotted spoon-like utensil used to separate the yolk of an egg from the egg white.
Egg slicer,,"Slicing peeled, hard-boiled eggs quickly and evenly."
Egg timer,,Used to correctly time the process of boiling eggs.
Fillet knife,,"A long, narrow knife with a finely serrated blade, used to slice fine filet cuts of fish or other meat."
Fish scaler,Urokotori,Used to remove the scales from the skin of fish before cooking
Fish slice,"Spatula, turner",Used for lifting or turning food during cooking
Flour sifter,,Blends flour with other ingredients and aerates it in the process.
Food mill,,Used to mash or sieve soft foods.
Funnel,,Used to channel liquid or fine-grained substances into containers with a small opening.
Garlic press,,"Presses garlic cloves to create a puree, functioning like a specialized ricer."
Grapefruit knife,,Finely serrated knife for separating segments of grapefruit or other citrus fruit.
Grater,"Cheese grater, Shredder",
Gravy strainer,Gravy separator,"A small pouring jug that separates roast meat drippings from melted fat, for making gravy."
Herb chopper,,Chops or minces raw herbs.
Ladle,,"A ladle is a type of serving spoon used for soup, stew, or other foods."
Lame,,Used to slash the tops of bread loaves in artisan baking.
Lemon reamer,,"A juicer with a fluted peak at the end of a short handle, where a half a lemon is pressed to release the juice."
Lemon squeezer,,"A juicer, similar in function to a lemon reamer, with an attached bowl."
Lobster pick,Lobster fork,"A long-handled, narrow pick, used to pull meat out of narrow legs and other parts of a lobster or crab."
Mandoline,,
Mated colander pot,,
Measuring jug,"Measuring cup, Measuring jar",
Measuring spoon,,Typically sold in a set that measures dry or wet ingredients in amounts from 1/4 teaspoon (1.25 ml) up to 1 tablespoon (15 ml).
Meat grinder,Mincer,"Operated with a hand-crank, this presses meat through a chopping or pureeing attachment."
Meat tenderiser,,
Meat thermometer,,
Melon baller,,"Small scoop used to make smooth balls of melon or other fruit, or potatoes."
Mezzaluna,,"To finely and consistently chop/mince foods, especially herbs."
Mortar and pestle,Molcajete,"To crush food, releasing flavours and aromas"
Nutcracker,,To crack open the hard outer shell of various nuts.
Nutmeg grater,,"A small, specialized grating blade for nutmeg."
Oven glove,Oven mitt,To protect hands from burning when handling hot pots or trays.
Pastry bag,,"To evenly dispense soft substances (doughs, icings, fillings, etc.)."
Pastry blender,,"Cuts into pastry ingredients, such as flour and butter, for blending and mixing while they are in a bowl. It is made of wires curved into a crescent shape and held by a rigid handle.[4]"
Pastry brush,Basting brush,"To spread oil, juices, sauce or glaze on food."
Pastry wheel,,Cuts straight or crimped lines through dough for pastry or pasta.
Peel,Pizza shovel,
Peeler,Potato peeler,
Pepper mill,"Burr mill, burr grinder, pepper grinder",
Pie bird,"Pie vent, pie funnel",
Pizza cutter,Pizza slicer,
Potato masher,,
Potato ricer,,
Pot-holder,,
Poultry shears,,"Used for dejointing and cutting uncooked poultry; reinforced with a spring, they have one serrated blade and pointed tips."
Ricer,,"Presses very smooth vegetable mashes or purees, operates similar to a meat grinder/mincer."
Roller docker,,
Rolling pin,,"A long, rounded wooden or marble tool rolled across dough to flatten it."
Salt shaker,,
Scales,"Kitchen scales, Weighing scales",
Scissors,Kitchen scissors,
Scoop,Ice cream scoop,
Shellfish scraper,,
Sieve,"Sifter, strainer",
Slotted spoon,Skimmer,
Spatula,,
Spider,"sieves, spoon sieves, spoon skimmers, or basket skimmers",For removing hot food from a liquid or skimming foam off when making broths
Sugar thermometer,Candy thermometer,"Measuring the temperature, or stage, of sugar"
Tamis,Drum sieve,"Used as a strainer, grater, or food mill."
Tin opener,Can opener,To open tins or cans
Tomato knife,,Used to slice through tomatoes.
Tongs,,"For gripping and lifting. Usually used to move items on hot surfaces, such as barbecues, or to select small or grouped items, such as sugar cubes or salad portions."
Trussing needle,,"For pinning, or sewing up, poultry and other meat."
Whisk,"Balloon whisk, gravy whisk, flat whisk, flat coil whisk, bell whisk, and other types.","To blend ingredients smooth, or to incorporate air into a mixture, in a process known as whisking or whipping"
Wooden spoon,,For mixing and stirring during cooking and baking.
Zester,,For obtaining zest from lemons and other citrus fruit.
